"site","Src","Plot","Ind","Yrm","Tcode","gl","Tos"
"Sagwon","TL","TL13","B",2022,"Sagwon.TL13.B.Blue.2022",9,222
"Toolik","TL","TL19","A",2022,"Toolik.TL19.A.yellow.2022",11,234
"Coldfoot","CF","CF10","C",2022,"Coldfoot.CF10.C.blue.2022",13,194
"Sagwon","TL","TL19","TL19",2016,"Sagwon.TL19.TL19.Black.2016",14,209
"Coldfoot","TL","TL10","A",2022,"Coldfoot.TL10.A.blue.2022",13,216
"Coldfoot","CF","CF2","CF2",2015,"Coldfoot.CF2.CF2.Black.2015",9,NA
"Sagwon","SG","SG5","A",2024,"Sagwon.SG5.A.red2.2024",13,226
"Sagwon","CF","CF19","B",2022,"Sagwon.CF19.B.red.2022",9,232
"Sagwon","TL","TL17","C",2022,"Sagwon.TL17.C.blue.2022",9,232
"Sagwon","CF","CF5","CF5",2016,"Sagwon.CF5.CF5.Black2.2016",16,209
"Coldfoot","CF","CF2","A",2022,"Coldfoot.CF2.A.Red.2022",13,236
"Coldfoot","TL","TL1","C",2022,"Coldfoot.TL1.C.Blue.2022",13,223
"Toolik","TL","TL4","TL4",2015,"Toolik.TL4.TL4.Black.2015",10,194
"Toolik","SG","SG14","A",2022,"Toolik.SG14.A.yellow.2022",11,192
"Sagwon","CF","CF5","A",2022,"Sagwon.CF5.A.blue.2022",9,232
"Sagwon","TL","TL13","TL13",2017,"Sagwon.TL13.TL13.Black.2017",13,228
"Coldfoot","SG","SG4","B",2022,"Coldfoot.SG4.B.Blue.2022",13,195
"Coldfoot","SG","SG5","SG5",2016,"Coldfoot.SG5.SG5.Black2.2016",4,NA
"Sagwon","TL","TL16","B",2023,"Sagwon.TL16.B.blue.2023",12,224
"Sagwon","SG","SG17","C",2024,"Sagwon.SG17.C.red.2024",13,205
"Coldfoot","SG","SG2","C",2024,"Coldfoot.SG2.C.Yellow2.2024",17,215
"Sagwon","SG","SG17","B",2022,"Sagwon.SG17.B.red.2022",9,214
"Toolik","TL","TL4","B",2023,"Toolik.TL4.B.blue.2023",14,215
"Coldfoot","CF","CF4","C",2022,"Coldfoot.CF4.C.Blue.2022",13,216
"Coldfoot","TL","TL2","C",2022,"Coldfoot.TL2.C.Blue.2022",13,201
"Toolik","SG","SG10","C",2024,"Toolik.SG10.C.yellow.2024",15,227
"Sagwon","CF","CF13","B",2024,"Sagwon.CF13.B.Blue.2024",9,NA
"Toolik","CF","CF5","C",2023,"Toolik.CF5.C.blue.2023",14,235
"Coldfoot","CF","CF6","B",2022,"Coldfoot.CF6.B.red.2022",13,223
"Coldfoot","TL","TL4","TL4",2016,"Coldfoot.TL4.TL4.Black.2016",13,202
"Coldfoot","SG","SG4","A",2024,"Coldfoot.SG4.A.Blue2.2024",17,223
"Sagwon","TL","TL4","C",2022,"Sagwon.TL4.C.red.2022",9,232
"Sagwon","SG","SG11","C",2024,"Sagwon.SG11.C.red.2024",13,219
