Site,Src,Plot,Ind,Tiller,Yrm,gr,Tos,Tcode
Coldfoot,CF,L11,Blue,Blue,2023,lighting,227,Coldfoot.L11.Blue.Blue.2023
Coldfoot,CF,L11,Red,Red,2023,lighting,227,Coldfoot.L11.Red.Red.2023
Coldfoot,CF,L12,Blue,Blue,2023,lighting,224,Coldfoot.L12.Blue.Blue.2023
Coldfoot,CF,L12,Red,Red,2023,lighting,217,Coldfoot.L12.Red.Red.2023
Coldfoot,CF,L12,Yellow,Yellow,2023,lighting,214,Coldfoot.L12.Yellow.Yellow.2023
Coldfoot,CF,L2,Blue,Blue,2023,lighting,214,Coldfoot.L2.Blue.Blue.2023
Coldfoot,CF,L2,Red,Red,2023,lighting,234,Coldfoot.L2.Red.Red.2023
Coldfoot,CF,L2,Yellow,Yellow,2023,lighting,214,Coldfoot.L2.Yellow.Yellow.2023
Coldfoot,CF,L3,Blue,Blue,2023,lighting,235,Coldfoot.L3.Blue.Blue.2023
Coldfoot,CF,L3,Red,Red,2023,lighting,240,Coldfoot.L3.Red.Red.2023
Coldfoot,CF,L3,Yellow,Yellow,2023,lighting,245,Coldfoot.L3.Yellow.Yellow.2023
Coldfoot,CF,L4,Blue,Blue,2023,lighting,215,Coldfoot.L4.Blue.Blue.2023
Coldfoot,CF,L4,Red,Red,2023,lighting,225,Coldfoot.L4.Red.Red.2023
Coldfoot,CF,L4,Yellow,Yellow,2023,lighting,241,Coldfoot.L4.Yellow.Yellow.2023
Coldfoot,CF,L5,Blue,Blue,2023,lighting,232,Coldfoot.L5.Blue.Blue.2023
Coldfoot,CF,L5,Red,Red,2023,lighting,223,Coldfoot.L5.Red.Red.2023
Coldfoot,CF,L5,Yellow,Yellow,2023,lighting,240,Coldfoot.L5.Yellow.Yellow.2023
Coldfoot,CF,L6,Red,Red,2023,lighting,232,Coldfoot.L6.Red.Red.2023
Coldfoot,CF,L6,Yellow,Yellow,2023,lighting,225,Coldfoot.L6.Yellow.Yellow.2023
Coldfoot,CF,L7,Blue,Blue,2023,lighting,245,Coldfoot.L7.Blue.Blue.2023
Coldfoot,CF,L7,Red,Red,2023,lighting,234,Coldfoot.L7.Red.Red.2023
Coldfoot,CF,L7,Yellow,Yellow,2023,lighting,234,Coldfoot.L7.Yellow.Yellow.2023
Coldfoot,CF,L8,Blue,Blue,2023,lighting,221,Coldfoot.L8.Blue.Blue.2023
Coldfoot,CF,L8,Red,Red,2023,lighting,226,Coldfoot.L8.Red.Red.2023
Coldfoot,CF,L8,Yellow,Yellow,2023,lighting,237,Coldfoot.L8.Yellow.Yellow.2023
Coldfoot,CF,L9,Blue,Blue,2023,lighting,241,Coldfoot.L9.Blue.Blue.2023
Coldfoot,CF,L9,Yellow,Yellow,2023,lighting,240,Coldfoot.L9.Yellow.Yellow.2023
Coldfoot,CF,NT1,NT1,Black,2015,untransplanted,228,Coldfoot.NT1.NT1.Black.2015
Coldfoot,CF,NT1,NT1,Black,2016,untransplanted,239,Coldfoot.NT1.NT1.Black.2016
Coldfoot,CF,NT1,NT1,Black,2017,untransplanted,237,Coldfoot.NT1.NT1.Black.2017
Coldfoot,CF,NT10,NT10,Black,2015,untransplanted,215,Coldfoot.NT10.NT10.Black.2015
Coldfoot,CF,NT10,NT10,Black,2016,untransplanted,238,Coldfoot.NT10.NT10.Black.2016
Coldfoot,CF,NT10,NT10,Black,2017,untransplanted,233,Coldfoot.NT10.NT10.Black.2017
Coldfoot,CF,NT2,NT2,Black,2015,untransplanted,232,Coldfoot.NT2.NT2.Black.2015
Coldfoot,CF,NT2,NT2,Black,2016,untransplanted,245,Coldfoot.NT2.NT2.Black.2016
Coldfoot,CF,NT2,NT2,Black,2017,untransplanted,236,Coldfoot.NT2.NT2.Black.2017
Coldfoot,CF,NT3,NT3,Black,2015,untransplanted,220,Coldfoot.NT3.NT3.Black.2015
Coldfoot,CF,NT3,NT3,Black,2017,untransplanted,234,Coldfoot.NT3.NT3.Black.2017
Coldfoot,CF,NT3,NT3,Black2,2016,untransplanted,237,Coldfoot.NT3.NT3.Black2.2016
Coldfoot,CF,NT4,NT4,Black,2015,untransplanted,229,Coldfoot.NT4.NT4.Black.2015
Coldfoot,CF,NT4,NT4,Black,2016,untransplanted,226,Coldfoot.NT4.NT4.Black.2016
Coldfoot,CF,NT4,NT4,Black,2017,untransplanted,234,Coldfoot.NT4.NT4.Black.2017
Coldfoot,CF,NT5,NT5,Black,2017,untransplanted,235,Coldfoot.NT5.NT5.Black.2017
Coldfoot,CF,NT6,NT6,Black,2015,untransplanted,225,Coldfoot.NT6.NT6.Black.2015
Coldfoot,CF,NT6,NT6,Black,2016,untransplanted,234,Coldfoot.NT6.NT6.Black.2016
Coldfoot,CF,NT6,NT6,Black,2017,untransplanted,235,Coldfoot.NT6.NT6.Black.2017
Coldfoot,CF,NT7,NT7,Black,2017,untransplanted,236,Coldfoot.NT7.NT7.Black.2017
Coldfoot,CF,NT7,NT7,Black2,2016,untransplanted,243,Coldfoot.NT7.NT7.Black2.2016
Coldfoot,CF,NT8,NT8,Black,2015,untransplanted,217,Coldfoot.NT8.NT8.Black.2015
Coldfoot,CF,NT8,NT8,Black,2016,untransplanted,220,Coldfoot.NT8.NT8.Black.2016
Coldfoot,CF,NT8,NT8,Black,2017,untransplanted,234,Coldfoot.NT8.NT8.Black.2017
Coldfoot,CF,NT9,NT9,Black,2015,untransplanted,225,Coldfoot.NT9.NT9.Black.2015
Coldfoot,CF,NT9,NT9,Black,2017,untransplanted,233,Coldfoot.NT9.NT9.Black.2017
Coldfoot,CF,NT9,NT9,Black2,2016,untransplanted,243,Coldfoot.NT9.NT9.Black2.2016
Coldfoot,SG,SG1,A,Blue,2022,control,223,Coldfoot.SG1.A.Blue.2022
Coldfoot,SG,SG1,A,Blue,2023,control,243,Coldfoot.SG1.A.Blue.2023
